Time,I,Q
11-41-55.902,6154,12827
11-41-56.051,6161,12820
11-41-56.086,6165,12832
11-41-56.145,6159,12847
11-41-56.207,6091,12876
11-41-56.273,6058,12929
11-41-56.445,6072,12906
11-41-56.461,6109,12881
11-41-56.523,6143,12863
11-41-56.586,6152,12833
11-41-56.648,6160,12797
11-41-56.711,6213,12755
11-41-56.773,6215,12747
11-41-56.836,6281,12711
11-41-56.898,6317,12687
11-41-56.961,6374,12666
11-41-57.090,6439,12616
11-41-57.148,6441,12611
11-41-57.207,6411,12654
11-41-57.273,6388,12666
11-41-57.336,6311,12698
11-41-57.395,6317,12742
11-41-57.457,6395,12712
11-41-57.520,6432,12682
11-41-57.586,6442,12699
11-41-57.648,6414,12709
11-41-57.707,6420,12714
11-41-57.773,6389,12734
11-41-57.832,6374,12757
11-41-57.895,6331,12784
11-41-57.898,6266,12855
11-41-58.051,6269,12857
11-41-58.078,6281,12835
11-41-58.145,6314,12806
11-41-58.207,6346,12780
11-41-58.270,6348,12791
11-41-58.332,6325,12807
11-41-58.391,6314,12813
11-41-58.457,6317,12808
11-41-58.520,6306,12811
11-41-58.586,6300,12820
11-41-58.645,6304,12829
11-41-58.703,6284,12832
11-41-58.770,6293,12815
11-41-58.832,6279,12832
11-41-58.891,6269,12834
11-41-58.953,6282,12820
11-41-59.047,6282,12806
11-41-59.078,6298,12781
11-41-59.141,6290,12802
11-41-59.203,6266,12820
11-41-59.270,6234,12853
11-41-59.328,6211,12876
11-41-59.391,6190,12894
11-41-59.457,6180,12912
11-41-59.516,6176,12909
11-41-59.578,6174,12888
11-41-59.641,6181,12894
11-41-59.703,6196,12882
11-41-59.770,6186,12883
11-41-59.828,6191,12882
11-41-59.891,6194,12859
11-42-1.551,6171,12888
11-42-1.566,6127,12936
11-42-1.586,6239,12756
11-42-1.602,6292,12756
11-42-1.691,6223,12799
11-42-1.879,6152,12840
11-42-1.895,6331,12647
11-42-2.051,6359,12654
11-42-2.086,6223,12705
11-42-2.145,6334,12698
11-42-2.207,6432,12667
11-42-2.273,6446,12657
11-42-2.332,6470,12672
11-42-2.391,6455,12690
11-42-2.457,6448,12720
11-42-2.520,6450,12712
11-42-2.586,6439,12705
11-42-2.645,6434,12723
11-42-2.707,6453,12716
11-42-2.770,6460,12697
11-42-2.832,6472,12690
11-42-2.891,6470,12683
11-42-2.957,6464,12691
11-42-3.047,6454,12697
11-42-3.078,6450,12695
11-42-3.145,6440,12709
11-42-3.203,6460,12691
11-42-3.270,6470,12688
11-42-3.328,6458,12701
11-42-3.391,6467,12671
11-42-3.457,6438,12716
11-42-3.516,6439,12725
11-42-3.578,6420,12705
11-42-3.641,6337,12790
11-42-3.703,6318,12829
11-42-3.770,6275,12857
11-42-3.832,6238,12876
11-42-3.891,6219,12885
11-42-3.895,6198,12903
11-42-4.047,6178,12915
11-42-4.078,6186,12910
11-42-4.145,6194,12904
11-42-4.203,6199,12893
11-42-4.266,6209,12892
11-42-4.328,6205,12898
11-42-4.391,6209,12878
11-42-4.453,6211,12890
11-42-4.602,6202,12895
11-42-4.605,6182,12907
11-42-4.641,6193,12886
11-42-4.703,6217,12876
11-42-4.766,6204,12873
11-42-4.824,6170,12914
11-42-4.887,6176,12927
11-42-4.949,6203,12897
11-42-5.055,6262,12849
11-42-5.070,6344,12739
11-42-5.137,6322,12722
11-42-5.199,6307,12728
11-42-5.266,6163,12818
11-42-5.324,6116,12821
11-42-5.387,6136,12838
11-42-5.453,6058,12873
11-42-5.512,6033,12897
11-42-5.574,6034,12896
11-42-5.637,6045,12908
11-42-5.695,6030,12910
11-42-5.762,5979,12949
11-42-5.824,5933,12973
11-42-5.887,5914,13004
11-42-5.891,5916,13008
11-42-6.043,5905,13009
11-42-6.070,5892,13009
11-42-6.137,5922,13012
11-42-6.199,5925,13008
11-42-6.266,6005,12946
11-42-6.324,6005,12919
11-42-6.383,5957,12909
11-42-6.449,6059,12842
11-42-6.512,6070,12817
11-42-6.570,6099,12790
11-42-6.637,6117,12767
11-42-6.695,6171,12734
11-42-6.762,6220,12743
11-42-6.824,6157,12784
11-42-6.883,6035,12822
11-42-6.945,5994,12892
11-42-7.055,6055,12889
11-42-7.070,6158,12849
11-42-7.133,6230,12786
11-42-7.195,6216,12789
11-42-7.258,6236,12774
11-42-7.320,6251,12783
11-42-7.379,6238,12793
11-42-7.445,6222,12804
11-42-7.508,6199,12829
11-42-7.566,6131,12852
11-42-7.633,5988,12977
11-42-7.695,5850,13067
11-42-7.758,5723,13208
11-42-7.816,5697,13227
11-42-7.879,5790,13182
11-42-7.883,5834,13119
11-42-8.051,5896,13092
11-42-8.066,5908,13073
11-42-8.129,5906,13106
11-42-8.191,5882,13123
11-42-8.258,5873,13118
11-42-8.316,5857,13120
11-42-8.379,5791,13164
11-42-8.441,5696,13223
11-42-8.504,5645,13278
11-42-8.566,5666,13287
11-42-8.711,5686,13246
11-42-8.754,5725,13232
11-42-8.816,5714,13245
11-42-8.875,5705,13228
11-42-8.938,5695,13243
11-42-9.047,5713,13232
11-42-9.063,5713,13223
11-42-9.125,5675,13252
11-42-9.184,5654,13281
11-42-9.246,5605,13310
11-42-9.328,5588,13324
11-42-9.375,5588,13329
11-42-9.441,5602,13310
11-42-9.500,5614,13307
11-42-9.563,5606,13311
11-42-9.625,5629,13290
11-42-9.688,5623,13287
11-42-9.754,5584,13319
11-42-9.813,5590,13318
11-42-9.887,5544,13336
11-42-10.059,5517,13366
11-42-10.137,5903,13070
11-42-10.184,6079,12907
11-42-10.266,6025,12925
11-42-10.324,5991,12940
11-42-10.387,6035,12943
11-42-10.438,6063,12916
11-42-10.496,6025,12924
11-42-10.559,5965,12967
11-42-10.625,5967,13006
11-42-10.688,5939,13001
11-42-10.754,5871,13005
11-42-10.813,5889,13018
11-42-10.875,5870,13063
11-42-10.938,5810,13094
11-42-11.047,5828,13075
11-42-11.059,5844,13068
11-42-11.125,5854,13072
11-42-11.188,5860,13040
11-42-11.246,5920,12973
11-42-11.441,5978,12917
11-42-11.500,6242,12704
11-42-11.559,6274,12684
11-42-11.625,6280,12682
11-42-11.684,6330,12669
11-42-11.746,6305,12680
11-42-11.809,6273,12694
11-42-11.887,6163,12743
11-42-12.059,6349,12753
11-42-12.125,6382,12733
11-42-12.184,6391,12765
11-42-12.246,6355,12792
11-42-12.309,6275,12875
11-42-12.371,6197,12947
11-42-12.438,6067,13040
11-42-12.496,5946,13113
11-42-12.559,5807,13161
11-42-12.625,5757,13228
11-42-12.699,5918,13146
11-42-12.742,6033,13063
11-42-12.809,6067,13036
11-42-12.883,6067,13027
11-42-12.934,6055,13059
11-42-13.043,6013,13102
11-42-13.055,5959,13134
11-42-13.137,5929,13145
11-42-13.195,5915,13139
11-42-13.262,5918,13151
11-42-13.320,5908,13143
11-42-13.367,5859,13181
11-42-13.434,5800,13218
11-42-13.496,5776,13237
11-42-13.559,5713,13277
11-42-13.625,5701,13296
11-42-13.684,5693,13293
11-42-13.746,5771,13205
11-42-13.809,5973,13041
11-42-13.887,5973,13079
11-42-14.039,6015,13042
11-42-14.055,6003,13049
11-42-14.121,5986,13067
11-42-14.184,5992,13077
11-42-14.242,5995,13065
11-42-14.309,5994,13070
11-42-14.367,5983,13086
11-42-14.434,5994,13077
11-42-14.496,6004,13037
11-42-14.555,6036,13030
11-42-14.621,5989,13066
11-42-14.684,6072,12989
11-42-14.742,6090,12949
11-42-14.809,6215,12852
11-42-14.871,6191,12844
11-42-14.934,6220,12836
11-42-15.039,6204,12815
11-42-15.055,6217,12867
11-42-15.121,6207,12867
11-42-15.184,6235,12827
11-42-15.246,6203,12840
11-42-15.309,6157,12919
11-42-15.371,6166,12906
11-42-15.434,6080,12943
11-42-15.496,6059,12901
11-42-15.555,6083,12866
11-42-15.621,6050,12873
11-42-15.684,6062,12885
11-42-15.742,6074,12859
11-42-15.809,6011,12883
11-42-15.883,5950,12920
11-42-15.887,5946,12898
11-42-17.539,5948,12896
11-42-17.551,5908,12907
11-42-17.566,6052,12868
11-42-17.586,6010,12840
11-42-17.680,6074,12798
11-42-17.695,6121,12770
11-42-17.699,6228,12720
11-42-17.711,6289,12677
11-42-17.727,6141,12795
11-42-17.742,6403,12704
11-42-17.809,6386,12720
11-42-17.867,6364,12752
