Time,I,Q
10-12-42.551,2349,15003
10-12-42.613,2343,15005
10-12-42.676,2330,15003
10-12-42.738,2316,15007
10-12-42.805,2302,15008
10-12-42.863,2288,15007
10-12-42.930,2278,15010
10-12-42.992,2278,15010
10-12-43.055,2334,15005
10-12-43.211,1538,15295
10-12-43.242,1512,15272
10-12-43.293,2109,15087
10-12-43.355,2208,15014
10-12-43.422,1946,15242
10-12-43.484,1665,15194
10-12-43.547,2007,15078
10-12-43.613,2616,14934
10-12-43.676,2493,14946
10-12-43.734,2199,15074
10-12-43.801,2124,15103
10-12-43.863,2052,15144
10-12-43.930,2013,15185
10-12-43.992,2028,15198
10-12-44.051,2027,15188
10-12-44.117,2053,15169
10-12-44.211,2118,15158
10-12-44.227,2137,15145
10-12-44.293,2139,15104
10-12-44.355,2539,14913
10-12-44.422,2325,14914
10-12-44.480,1854,15151
10-12-44.543,2218,15136
10-12-44.609,2042,15076
10-12-44.672,1185,15284
10-12-44.734,1259,15319
10-12-44.801,1785,15246
10-12-44.863,2625,14995
10-12-44.930,2372,15010
10-12-44.992,2238,15021
10-12-45.055,2282,15012
10-12-46.707,2466,15007
10-12-46.738,2485,15011
10-12-46.789,2476,15077
10-12-46.852,2404,15118
10-12-46.867,2400,15121
10-12-46.898,2419,15111
10-12-46.934,2496,15061
10-12-46.977,2493,15062
10-12-47.039,2489,15066
10-12-47.211,2490,15070
10-12-47.242,2489,15070
10-12-47.293,2485,15068
10-12-47.355,2489,15069
10-12-47.422,2499,15068
10-12-47.484,2499,15068
10-12-47.547,2486,15070
10-12-47.613,2487,15069
10-12-47.680,2488,15068
10-12-47.734,2482,15072
10-12-47.801,2477,15071
10-12-47.848,2483,15068
10-12-47.910,2487,15060
10-12-47.977,2495,15056
10-12-48.039,2495,15054
10-12-48.105,2498,15050
10-12-48.215,2500,15055
10-12-48.246,2497,15058
10-12-48.293,2501,15055
10-12-48.355,2505,15047
10-12-48.422,2511,15037
10-12-48.484,2511,15034
10-12-48.547,2511,15033
10-12-48.609,2511,15035
10-12-48.672,2515,15034
10-12-48.734,2513,15034
10-12-48.801,2511,15035
10-12-48.863,2513,15034
10-12-48.930,2512,15027
10-12-48.977,2503,15020
10-12-49.043,2498,15015
10-12-49.211,2468,15010
10-12-49.242,2486,15040
10-12-49.293,2177,15258
10-12-49.355,1457,15283
10-12-49.414,2074,15270
10-12-49.480,2274,15083
10-12-49.543,1585,15137
10-12-49.609,1687,15174
10-12-49.668,2417,15048
10-12-49.730,2560,14942
10-12-49.797,2267,15078
10-12-49.859,2102,15149
10-12-49.926,2109,15184
10-12-49.988,2157,15193
10-12-50.035,2186,15183
10-12-50.102,2150,15183
10-12-50.207,2143,15171
10-12-50.223,2155,15168
10-12-50.289,2123,15169
10-12-50.352,2136,15140
10-12-50.414,2418,14931
10-12-50.480,2300,15085
10-12-50.543,1755,15263
10-12-50.609,2383,15057
10-12-50.668,2041,15153
10-12-50.730,1211,15294
10-12-50.797,1333,15328
10-12-50.859,1828,15339
10-12-50.906,2403,15158
10-12-50.973,2386,15116
10-12-51.051,1979,15231
10-12-51.207,1542,15328
10-12-51.223,1476,15328
10-12-51.289,1485,15324
10-12-51.352,1530,15321
10-12-51.414,1569,15318
10-12-51.480,1624,15316
10-12-51.543,1647,15310
10-12-51.605,1655,15308
10-12-51.668,1665,15307
10-12-51.730,1662,15307
10-12-51.797,1654,15304
10-12-51.859,1658,15305
10-12-51.926,1671,15303
10-12-51.973,1684,15301
10-12-52.035,1689,15298
10-12-52.102,1693,15298
10-12-52.207,1697,15298
10-12-52.223,1688,15299
10-12-52.289,1677,15298
10-12-52.352,1660,15300
10-12-52.414,1660,15300
10-12-52.480,1662,15299
10-12-52.543,1666,15298
10-12-52.609,1661,15298
10-12-52.672,1653,15298
10-12-52.730,1653,15296
10-12-52.797,1671,15295
10-12-52.859,1676,15295
10-12-52.906,1692,15294
10-12-52.973,1682,15295
10-12-53.035,1688,15294
10-12-53.195,1684,15294
10-12-53.227,1684,15293
