Time,I,Q
10-16-41.828,1591,14949
10-16-41.906,1429,15025
10-16-42.020,1830,14887
10-16-42.086,2046,15101
10-16-42.145,1911,14906
10-16-42.207,2118,14855
10-16-42.289,1947,14932
10-16-42.352,1807,14991
10-16-42.414,1767,14997
10-16-42.480,1760,14999
10-16-42.543,1814,14990
10-16-42.609,1919,14951
10-16-42.672,2046,14886
10-16-42.730,2269,14886
10-16-42.809,1462,14993
10-16-42.887,1881,14897
10-16-43.016,1387,15035
10-16-43.078,1707,14950
10-16-43.160,2207,14861
10-16-43.223,1792,14934
10-16-43.305,1692,14966
10-16-43.367,1644,14985
10-16-43.434,1632,14991
10-16-43.617,1643,15003
10-16-43.684,1664,14994
10-16-43.746,1871,14892
10-16-43.809,2292,14814
10-16-43.871,1528,14955
10-16-43.938,1361,15040
10-16-44.016,1923,14927
10-16-44.078,1366,15094
10-16-44.145,2174,14818
10-16-44.207,1928,14948
10-16-44.273,1797,15017
10-16-44.332,1506,15036
10-16-44.410,1455,15035
10-16-44.488,1527,15030
10-16-44.551,1560,15028
10-16-44.633,1599,15026
10-16-44.695,1777,15010
10-16-44.777,1821,14988
10-16-44.844,2241,14832
10-16-44.922,1431,15021
10-16-46.520,1932,14909
10-16-46.648,1781,14973
10-16-46.727,2158,14829
10-16-46.867,1883,14916
10-16-47.012,1386,15075
10-16-47.105,1306,15040
10-16-47.184,2114,14868
10-16-47.266,2156,14851
10-16-47.344,2042,14876
10-16-47.426,1783,14946
10-16-47.504,1760,14958
10-16-47.578,1766,14961
10-16-47.660,1820,14953
10-16-47.738,2244,14793
10-16-47.805,2150,14925
10-16-47.883,1447,14977
10-16-47.961,1406,15032
10-16-48.039,1941,14867
10-16-48.121,2105,14812
10-16-48.199,1958,14892
10-16-48.281,1819,14966
10-16-48.359,1746,14990
10-16-48.441,1751,14994
10-16-48.516,1772,14980
10-16-48.598,1883,14937
10-16-48.676,2065,14824
10-16-48.738,1989,15016
10-16-48.805,2005,14890
10-16-48.879,1885,14897
10-16-48.953,1660,14936
10-16-49.066,1178,15142
10-16-49.137,1663,15029
10-16-49.215,2003,14895
10-16-49.297,1689,15019
10-16-49.375,1629,15067
10-16-49.453,1637,15087
10-16-49.531,1638,15094
10-16-49.598,1704,15086
10-16-49.660,1723,15080
10-16-49.738,1688,15077
10-16-49.820,1722,15038
10-16-49.898,2113,14904
10-16-49.980,2282,14829
